Demand,Algorithm,AvgCost,StdCost,MinCost,MaxCost,AvgTime
14,GA,7.5013801594601635,0.0,7.5013801594601635,7.5013801594601635,0.006577301025390625
14,ACO,6.174369368376027,1.1424207157104047,4.995941589240791,8.017309013216963,1.1312172412872314
14,SA,7.5013801594601635,0.0,7.5013801594601635,7.5013801594601635,0.09787302017211914
15,Dijkstra,2.209606703079943,0.0,2.209606703079943,2.209606703079943,0.007380104064941407
15,GA,2.209606703079943,0.0,2.209606703079943,2.209606703079943,0.003992986679077148
15,ACO,2.209606703079943,0.0,2.209606703079943,2.209606703079943,0.5987980365753174
15,SA,2.209606703079943,0.0,2.209606703079943,2.209606703079943,0.06239132881164551
16,Dijkstra,4.850249345310615,0.0,4.850249345310615,4.850249345310615,0.09808497428894043
16,GA,8.17795283373937,0.0,8.17795283373937,8.17795283373937,0.00657963752746582
16,ACO,7.145979910473483,1.1103150775213593,6.27369945555988,9.241032275792833,1.6325397968292237
16,SA,8.17795283373937,0.0,8.17795283373937,8.17795283373937,0.09728822708129883
17,Dijkstra,1.8236733645594465,0.0,1.8236733645594465,1.8236733645594465,0.002002906799316406
17,GA,1.8236733645594465,0.0,1.8236733645594465,1.8236733645594465,0.003992938995361328
17,ACO,1.8236733645594465,0.0,1.8236733645594465,1.8236733645594465,0.5834469318389892
17,SA,1.8236733645594465,0.0,1.8236733645594465,1.8236733645594465,0.06139373779296875
18,Dijkstra,5.3494311899397315,0.0,5.3494311899397315,5.3494311899397315,0.12519340515136718
18,GA,13.002770350679077,0.0,13.002770350679077,13.002770350679077,0.006376838684082032
18,ACO,5.89465098955009,0.069531697856576,5.859885140621802,6.033714385263242,1.048097515106201
18,SA,13.002770350679077,0.0,13.002770350679077,13.002770350679077,0.09828686714172363
19,Dijkstra,5.567788151101005,0.0,5.567788151101005,5.567788151101005,0.13476619720458985
19,GA,9.411654578382773,0.0,9.411654578382773,9.411654578382773,0.006387901306152344
19,ACO,7.946125199009811,2.0302666296845566,5.686199783079986,11.064477537651841,1.7078895092010498
19,SA,9.411654578382773,0.0,9.411654578382773,9.411654578382773,0.09627752304077149
